image_name,target
ISIC_0015719,0.02010174
ISIC_0052212,0.05162103
ISIC_0068279,0.09716341
ISIC_0074268,0.009588029
ISIC_0074542,0.063241445
ISIC_0076262,0.008914527
ISIC_0076995,0.036611628
ISIC_0077472,0.0022102203
ISIC_0077735,0.008646022
ISIC_0078703,0.00039700753
ISIC_0079038,0.022981793
ISIC_0080512,0.023211489
ISIC_0080752,0.004728032
ISIC_0080817,0.09964955
ISIC_0081956,0.03785601
ISIC_0082348,0.024808614
ISIC_0082934,0.13014151
ISIC_0084270,0.13077186
ISIC_0084395,0.062726624
ISIC_0086349,0.06353414
ISIC_0086462,0.0023435308
ISIC_0086632,0.0025927874
ISIC_0087290,0.0006515019
ISIC_0088137,0.012256778
ISIC_0088489,0.033317525
ISIC_0090279,0.06550757
ISIC_0092870,0.12011411
ISIC_0094701,0.04222974
ISIC_0094755,0.065819986
ISIC_0094775,0.028757585
ISIC_0095805,0.005218039
ISIC_0096201,0.06455433
ISIC_0096227,0.0008708337
ISIC_0096328,0.0033967101
ISIC_0097499,0.0020904455
ISIC_0097500,0.011383175
ISIC_0098198,0.032086913
ISIC_0099474,0.027177634
ISIC_0099546,0.011571771
ISIC_0100550,0.012735184
ISIC_0103298,0.00020515338
ISIC_0105145,0.07543536
ISIC_0109415,0.019333493
ISIC_0109869,0.0016537969
ISIC_0112097,0.036879957
ISIC_0112444,0.042776655
ISIC_0113820,0.009689246
ISIC_0114225,0.089309536
ISIC_0120729,0.14602561
ISIC_0124849,0.043463573
ISIC_0134357,0.0010589442
ISIC_0140339,0.04003078
ISIC_0147642,0.04539111
ISIC_0147817,0.06099097
ISIC_0147869,0.0001800509
ISIC_0148783,0.0005786644
ISIC_0149568,0.037329618
ISIC_0149698,0.00018870847
ISIC_0149918,0.05378094
ISIC_0150363,0.0004671639
ISIC_0151200,0.07141506
ISIC_0152307,0.15270476
ISIC_0153265,0.0821642
ISIC_0153549,0.16913019
ISIC_0153589,0.053295467
ISIC_0153932,0.002852416
ISIC_0154032,0.0647792
ISIC_0154253,0.06488621
ISIC_0154813,0.0026708674
ISIC_0154870,0.0022112036
ISIC_0154872,0.0056961603
ISIC_0154880,0.09732435
ISIC_0155012,0.13553007
ISIC_0155173,0.13350463
ISIC_0155273,0.05727188
ISIC_0155473,0.11504871
ISIC_0155575,0.00018849358
ISIC_0156460,0.16866213
ISIC_0156642,0.1548026
ISIC_0157530,0.0057744845
ISIC_0158127,0.0009932099
ISIC_0158187,0.047983557
ISIC_0159060,0.13480961
ISIC_0159568,0.05836873
ISIC_0159663,0.00026487708
ISIC_0160270,0.0072031785
ISIC_0160340,0.015469465
ISIC_0160455,0.20601226
ISIC_0160831,0.086039685
ISIC_0161840,0.05958098
ISIC_0162627,0.070969075
ISIC_0162708,0.01510929
ISIC_0162967,0.25017437
ISIC_0163639,0.15642484
ISIC_0163765,0.0003210189
ISIC_0163767,0.024650617
ISIC_0163812,0.13697843
ISIC_0164145,0.041753024
